title,url,img,ingredients
Tomato Pie,https://www.budgetbytes.com/tomato-pie/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['roma tomatoes*', 'puff pastry sheet', 'salt, divided', 'olive oil', 'mayonnaise', 'ricotta cheese', 'shredded cheddar cheese', 'shredded parmesan cheese', 'large eggs, divided', 'cayenne pepper', 'cloves garlic, minced', 'freshly cracked black pepper', 'fresh minced basil (optional)']"
Key Lime Pie Bars,https://www.budgetbytes.com/key-lime-pie-bars/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['ritz crackers*', 'sheets of Graham crackers (1 package)**', 'unsalted butter', 'brown sugar']"
BBQ Grilled Tofu,https://www.budgetbytes.com/bbq-grilled-tofu/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['large block of extra firm tofu', 'olive oil', 'smoked paprika', 'sea salt', 'freshly cracked black pepper', 'soy sauce', 'BBQ sauce, divided']"
Chicken Salad (Traditional),https://www.budgetbytes.com/chicken-salad-traditional/,https://www.budgetbytes.com/wp-content/uploads/2024/07/Chicken-Salad-Bowl-268x200.jpg,"['rotisserie chicken, about 4 cups of meat', 'seedless red grapes, quartered', 'red onion, diced', 'celery, diced', 'chopped walnuts', 'mayonnaise', 'white vinegar', 'salt', 'freshly cracked black pepper']"
Tomato Relish,https://www.budgetbytes.com/tomato-relish/,https://www.budgetbytes.com/wp-content/uploads/2024/07/Tomato-Relish-Side-268x200.jpg,"['tomatoes, roughly chopped and seeded*', 'limes', 'grated peeled ginger, about 2 inches of fresh ginger', 'sugar', 'red pepper flakes', 'ground cumin', 'ground cloves**', 'red onion']"
Street Corn Salad,https://www.budgetbytes.com/street-corn-salad/,https://www.budgetbytes.com/wp-content/uploads/2024/07/Street-Corn-Salad-Overhead-268x200.jpg,"['mayonnaise', 'plain Greek yogurt', 'lime', 'smoked paprika', 'cayenne pepper', 'chili powder', 'sea salt']"
Grilled Cabbage,https://www.budgetbytes.com/grilled-cabbage/,https://www.budgetbytes.com/wp-content/uploads/2024/07/Grilled-Cabbage-Overhead-Close-268x200.jpg,"['cabbage (any kind!) cut into 6 wedges*', 'garlic clove, minced', 'olive oil', 'sea salt', 'freshly cracked black pepper', 'chili flakes', 'grated Parmesan']"
Zucchini Fritters,https://www.budgetbytes.com/zucchini-fritters/,https://www.budgetbytes.com/wp-content/uploads/2011/01/Zucchini-Fritters-Stack-268x200.jpg,"['zucchini (2 large zucchini)', 'yellow onion, finely diced', 'garlic clove, minced', 'all-purpose flour', 'grated parmesan cheese', 'large egg, lightly beaten', 'salt, divided', 'freshly cracked black pepper', 'cooking oil']"
Tzatziki Sauce Recipe,https://www.budgetbytes.com/tzatziki-greek-yogurt-sauce/,https://www.budgetbytes.com/wp-content/uploads/2010/05/Tzatziki-V2-268x200.jpg,"['cucumber* ', 'plain Greek yogurt, whole milk', 'clove of garlic, finely minced', 'fresh dill, finely minced', 'fresh lemon juice', 'extra virgin olive oil', 'salt ', 'freshly cracked black pepper', 'granulated white sugar']"
Sweet Corn Risotto,https://www.budgetbytes.com/sweet-corn-risotto/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['corn cobs', 'small sweet onion', 'salted butter, divided', 'arborio rice', 'white wine*', 'vegetable broth', 'shredded Parmesan cheese']"
Grilled Vegetables,https://www.budgetbytes.com/grilled-vegetables/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['mini bell peppers (or 2 large bell peppers cut into ¼s)', 'zucchini', 'red onion', 'cherry tomatoes, whole on vine*', 'mushrooms**', 'yellow squash', 'olive oil', 'clove garlic, minced', 'steak seasoning', 'sugar']"
Zucchini Bread,https://www.budgetbytes.com/zucchini-bread/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['grated zucchini* (about 1 lb.)', 'large eggs', 'granulated sugar', 'dark brown sugar', 'sweetened applesauce', 'cooking oil', 'vanilla extract', 'all-purpose flour', 'baking powder', 'baking soda', 'salt', 'cinnamon', 'chopped walnuts (optional)']"
Barley Salad,https://www.budgetbytes.com/barley-salad/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['Quick Pearled Barley', 'sea salt', 'grape tomatoes, halved', 'chopped pitted kalamata olives', 'cucumber, peeled and diced', 'red bell pepper, diced', 'small zucchini, diced (about 1 cup)', 'red onion, diced', 'crumbled feta cheese (about 1/2 cup)']"
